bpm,pace,time,temperature,gap,dist_quater,count_quater,puls_quater,weight_year
140,468,7447,15,3,313799,1149439,60,79.8
143,441,5812,19,4,300639,1124033,60,79.9
140,489,7350,22,3,285639,1086534,60,79.9
140,492,7393,24,6,270639,1044803,60,79.9
143,464,4775,27,2,260359,1084452,60,80
140,495,7437,22,3,245349,1069358,60,80
141,477,6495,28,2,253013,1078947,60,80.1
139,479,6069,26,2,249870,1066775,60,80.1
139,503,5768,28,3,259698,1071872,60,80.2
138,478,4797,27,3,258081,1077301,60,80.2
139,484,5000,19,3,269017,1055282,61,80.3
140,515,5955,27,2,268301,1056579,61,80.4
139,527,6068,23,4,268801,1053645,61,80.4
146,439,5889,26,2,266871,1040024,61,80.4
149,437,6716,31,4,272778,1028900,61,80.5
143,474,5390,33,3,276426,1019970,61,80.5
163,427,9372,33,6,254525,1004240,61,80.6
149,423,3670,23,3,277502,1010835,61,80.6
147,452,8168,21,10,274465,997064,61,80.6
159,392,3218,36,2,290468,1056764,61,80.7
147,460,5983,34,6,298737,1052654,61,80.8
151,422,6303,30,2,313155,1043244,62,80.8
142,469,7607,23,2,296951,1032143,62,80.9
145,468,5608,25,1,299995,1031634,62,81
143,451,3266,22,1,292757,1021169,62,81.1
141,449,1810,27,28,298765,1029396,62,81.1
157,369,7861,28,2,349438,1059194,63,81.2
143,492,4681,29,2,339931,1055426,63,81.3
160,355,7564,25,3,339915,1053287,63,81.3
144,446,3756,31,30,346519,1060757,63,81.3
160,349,7438,26,4,325265,1052276,63,81.4
145,455,4945,27,3,314421,1037388,63,81.4
166,347,4176,31,2,321865,1049927,63,81.4
166,350,4015,29,4,310407,1038456,63,81.5
160,351,7472,27,3,304160,1047409,63,81.5
168,349,5245,28,5,289155,1033329,64,81.5
169,349,5949,28,3,295233,1045255,64,81.6
161,372,5444,27,4,280603,1032263,64,81.6
168,354,5314,26,6,265593,1043520,64,81.6
161,410,5006,21,4,282944,1029901,64,81.6
166,357,4288,20,3,270943,1000977,64,81.6
165,344,7323,15,4,264760,1010084,64,81.6
170,339,4870,18,2,250430,1015816,64,81.6
169,339,5091,17,3,235421,1003164,64,81.6
173,350,5257,21,3,220414,983810,64,81.6
168,344,3457,25,12,210381,972722,64,81.6
164,362,3857,16,2,211370,951408,64,81.6
175,341,3420,18,2,201364,928094,64,81.6
173,371,7425,19,9,191950,930340,64,81.6
173,356,3572,10,3,181942,944869,65,81.5
171,365,7773,15,9,160682,943568,64,81.5
170,370,7888,10,2,150956,941436,65,81.5
170,373,5605,15,8,146321,937043,65,81.5
170,371,7235,17,7,126864,937120,65,81.5
165,374,5618,17,5,121858,927137,65,81.4
172,383,5261,16,3,108138,902875,65,81.4
172,376,3529,16,12,98774,897076,65,81.3
169,381,5786,10,2,99388,859555,65,81.2
172,401,5772,14,5,85000,853017,65,81.2
173,401,6048,16,21,69929,821951,65,81.2
177,393,4580,3,7,72080,759713,65,81.2
171,383,4065,3,14,76351,760533,65,81.1
168,387,4473,14,5,86392,782754,65,81
173,414,4308,15,16,88285,767634,65,80.9
175,381,3818,-2,14,78285,746259,65,80.9
172,387,3880,4,6,77985,769367,64,80.8
169,399,2305,13,8,77955,785719,64,80.8
174,387,3114,11,13,69925,806492,64,80.8
169,414,2389,18,8,64165,826710,64,80.8
176,432,2103,26,5,59305,850854,64,80.8
171,382,3836,22,5,49295,823870,64,80.9
170,372,3541,24,3,39795,785539,64,80.9
163,389,2345,24,5,33785,783485,64,80.9
158,378,2297,20,3,27715,762688,64,80.9
164,331,2362,18,3,20540,745691,64,80.8
168,402,2054,24,27,24300,754419,64,80.8
163,423,3263,26,4,25090,797025,64,80.8
138,574,1161,30,5,23080,785018,64,80.9
160,466,2677,28,54,27980,791537,64,81.2
154,464,4112,31,9,53240,729889,63,79.9
160,407,3464,25,26,44750,711829,63,79.5
158,401,4270,25,18,34120,656378,62,79.3
171,415,8948,16,10,12610,607195,63,79.1
165,407,5139,10,207,0,583356,63,78.9
159,429,4309,13,68,58520,742882,61,79.2
164,397,1378,24,5,106380,981390,61,79.5
167,362,5451,26,3,91330,942172,61,79.6
159,384,7692,26,14,71320,913431,61,79.7
159,401,8041,31,3,54620,927750,61,79.9
170,356,3561,32,2,44620,916082,61,79.9
149,426,2812,29,2,38030,899557,61,80
159,391,5871,26,1,23030,887446,61,80.1
151,383,1496,24,3,19130,876300,61,80.1
147,412,2408,24,2,13300,867245,61,80.1
155,381,3815,22,74,3300,855316,61,80.2
162,392,1004,18,172,0,548503,60,80.2
161,353,3542,11,3,172250,808970,63,80.2
159,342,1857,14,10,186840,809728,63,80.2
162,358,2157,17,23,230860,823988,63,80.1
163,375,15819,12,4,363300,980696,62,80
163,349,3494,16,2,371480,1005754,62,80
164,371,8390,16,7,357120,991079,62,80
169,348,5231,24,7,351430,1017362,62,79.8
162,354,5149,30,8,344010,996863,62,79.5
158,349,5398,25,3,336970,988259,62,79.3
155,349,3496,21,18,326970,989991,62,79.3
169,337,7104,19,3,314440,912007,62,79.1
155,399,3998,23,3,304440,946844,62,79.1
159,367,7350,25,4,284440,931157,62,79.1
166,333,3212,19,3,274440,948878,62,79
161,378,11346,23,2,244440,915284,62,79.1
156,350,3512,19,4,239220,911241,62,79.1
165,383,7681,19,1,219220,901350,62,79
152,380,3840,25,3,209140,888595,62,79
154,381,3625,22,1,203260,893311,62,79
162,382,7666,20,2,183250,872621,62,79
149,381,3624,30,1,173750,859257,62,78.9
158,372,5589,28,3,158740,841848,62,78.9
152,399,3995,28,3,148740,823326,62,78.9
153,389,4653,25,2,136800,807303,62,78.8
154,383,3900,23,1,126630,787937,62,78.8
158,381,5888,20,3,111190,772457,62,78.8
161,392,3930,26,1,105780,752097,62,78.7
159,395,5938,28,2,90770,732619,62,78.7
156,391,3139,24,1,82750,716974,62,78.6
158,391,4014,23,3,72500,704455,62,78.6
159,418,2930,30,1,64340,684226,62,78.5
165,380,3815,29,2,54320,674955,62,78.5
164,390,3203,29,1,46120,667148,62,78.5
164,365,3409,23,11,36800,654634,62,78.4
164,400,2845,17,4,29700,650379,61,78.4
159,389,3106,14,15,21740,652550,61,78.3
160,396,3465,13,27,13020,711696,61,78.3
154,423,2035,7,7,8220,779501,61,78.3
149,437,1587,7,14,4600,771083,61,78.3
134,466,2149,17,196,0,748218,61,78.2
