bpm,distance,time,pace,gap,dist_week,dist_month,dist_quater,dist_year,count_week,count_month,count_quater,count_year,point_week,point_month,point_quater,point_year,puls_week,puls_month,puls_quater,puls_year,weight,temperature
160,5730,2677,466,54,0,0,27980,72110,0,0,3,6,-6.9,-6.9,-6.9,-8.6,64,64,64,62,79,28
154,8860,4112,464,9,0,8490,53240,138360,0,1,4,11,-6.2,-6.2,-8.1,-5.8,66,65,63,62,81.75,31
160,8490,3464,407,26,0,10630,44750,164600,0,1,3,14,-4,-4,-8.7,-4,64,64,63,62,82.5,25
158,10630,4270,401,18,0,34120,34120,153970,0,2,2,13,-11.1,-11.1,-11.1,-3.9,62,62,62,62,81.25,25
171,21510,8948,415,10,0,12610,12610,132460,0,1,1,12,-9.2,-9.2,-9.2,-3.2,63,62,63,61,81.6,16
165,12610,5139,407,207,0,0,0,119850,0,0,0,11,-2.6,-2.6,-2.6,-2.6,62,61,63,61,82,10
159,10010,4309,429,68,0,0,58520,134560,0,0,4,14,-3.9,-3.9,-3.9,-1.7,59,60,61,61,80.55,13
164,3460,1378,397,5,15050,90550,106380,260690,1,7,9,20,-3.9,-2.1,-1.4,-0.7,60,60,61,61,78.2,24
167,15050,5451,362,3,20010,91330,91330,276890,1,8,8,21,-0.9,-1.1,-1.1,-0.6,60,60,61,61,77.5,26
159,20010,7692,384,14,0,71320,71320,276880,0,7,7,21,-1.1,-1.1,-1.1,-0.5,59,60,61,61,77.95,26
159,20000,8041,401,3,31590,51320,54620,336980,3,6,7,25,-3.3,-0.8,-1.5,-0.2,59,62,61,61,77.5,31
170,10000,3561,356,2,25490,41320,44620,356490,3,5,6,26,-0.4,0.2,-0.8,0,60,62,61,61,77.8,32
149,6590,2812,426,2,24730,34730,38030,359400,3,4,5,26,0.6,0.6,-0.6,0.2,61,62,61,61,78.9,29
159,15000,5871,391,1,19730,19730,23030,359410,3,3,4,26,1.7,1.7,-0.1,0.3,62,62,61,61,79.05,26
151,3900,1496,383,3,15830,15830,19130,355510,2,2,3,25,1.1,1.1,-1.1,0.2,61,62,61,61,79,24
147,5830,2408,412,2,10000,10000,13300,371620,1,1,2,26,0.5,0.5,-2.5,0.1,63,62,61,61,79,24
155,10000,3815,381,74,0,0,3300,387230,0,0,1,27,-5.5,-5.5,-5.5,0.1,62,62,61,61,79.35,22
162,3300,1004,392,172,0,0,0,491500,0,0,0,38,-1.2,-1.2,-1.2,-1.2,59,60,60,62,77.35,18
161,10010,3542,353,3,5410,11410,172250,489710,1,2,11,39,2.8,0.9,0.2,-1.2,63,63,63,62,82,11
159,5410,1857,342,10,0,6000,186840,484300,0,1,11,38,-1,-1,0.1,-1.3,63,63,63,62,82,14
162,6000,2157,358,23,0,75060,230860,478300,0,3,13,37,-0.5,-0.5,0.4,-1.3,63,63,63,62,81.5,17
163,42500,15819,375,4,32560,77090,363300,478300,2,5,26,37,-1.3,-0.5,-0.3,-1.4,63,63,62,62,80,12
163,10000,3494,349,2,22560,77090,371480,468300,1,5,27,36,-2,0.5,-0.7,-1.4,63,63,62,62,80.3,16
164,22560,8390,371,7,15010,54530,357120,467240,1,4,27,36,-3.3,1.2,-0.9,-1.2,63,63,62,62,80.5,16
169,15010,5231,348,7,14520,39520,351430,493580,1,3,27,37,0.2,2.6,-0.9,-0.9,63,63,62,62,80.6,24
162,14520,5149,354,8,0,46250,344010,509070,0,3,27,39,2.2,2.2,-1.2,-0.5,63,63,62,61,81.6,30
158,15000,5398,349,3,10000,61250,336970,533280,1,4,27,40,4.4,0.7,-1.4,-0.3,63,63,62,61,80,25
155,10000,3496,349,18,0,61250,326970,533290,0,4,26,40,-0.5,-0.5,-1.7,-0.3,62,63,62,61,80.3,21
169,21250,7104,337,3,30000,174120,314440,610370,2,12,26,47,-0.3,0.4,-1.8,0.2,62,61,62,61,79.5,19
155,10000,3998,399,3,30000,186230,304440,600370,2,13,25,46,0.4,0.6,-1.8,0.3,62,61,62,61,79.3,23
159,20000,7350,367,4,40000,181670,284440,601620,2,13,24,46,-0.2,0.4,-2,0.1,62,61,62,61,80.2,25
166,10000,3212,333,3,40020,204710,274440,602060,2,15,23,46,1.9,-0.3,-2,0.2,62,61,62,61,78.4,19
161,30000,11346,378,2,40100,184960,244440,585080,3,15,22,47,0.5,-0.5,-2.1,0.3,61,61,62,61,80.7,23
156,10020,3512,350,4,30080,193120,239220,575060,2,16,22,46,-1.1,-1.5,-2.5,0.2,61,61,62,61,81,19
165,20000,7681,383,1,49090,190640,219220,555060,4,17,21,45,1.4,-1.8,-2.4,0.4,60,62,62,61,80.1,19
152,10080,3840,380,3,54020,180560,209140,544980,4,16,20,44,0.9,-2,-2.7,0.3,60,62,62,61,80.7,25
154,9500,3625,381,1,54520,171060,203260,535480,4,15,20,43,0.6,-2.3,-2.9,0.3,60,62,62,61,78.6,22
162,20010,7666,382,2,46450,151050,183250,515470,4,14,19,42,1.7,-2.3,-2.9,0.4,61,63,62,61,79.5,20
149,9500,3624,381,1,47120,141550,173750,505970,4,13,18,41,0.5,-2.8,-3.3,0.2,61,63,62,61,80.2,30
158,15010,5589,372,3,47550,126540,158740,490960,4,12,17,40,0.1,-3.1,-3.6,0.2,61,63,62,61,81.6,28
152,10000,3995,399,3,47560,123640,148740,480960,4,12,16,39,-1.5,-3.8,-3.8,0.2,61,63,62,61,79.2,28
153,11940,4653,389,2,50630,111700,136800,469020,4,11,15,38,-1.9,-3.8,-3.8,0.2,61,63,62,61,80.4,25
154,10170,3900,383,1,48480,109490,126630,458850,4,11,14,37,-2.5,-4.2,-4.2,0.2,61,63,62,61,79.9,23
158,15440,5888,381,3,43290,94050,111190,443410,4,10,13,36,-3,-4.6,-4.4,0.2,62,63,62,61,81.3,20
161,10010,3930,392,1,41440,84040,105780,433400,4,9,13,35,-3.6,-4.5,-3.8,0.4,63,63,62,61,79.1,26
159,15010,5938,395,2,36450,69030,90770,418390,4,8,12,34,-4.3,-4.7,-3.9,0.5,63,63,62,61,79.5,28
156,8020,3139,391,1,36630,61010,82750,418390,4,7,11,34,-5.5,-5.2,-4.1,0.7,64,63,62,61,80,24
158,10250,4014,391,3,35700,50760,72500,408140,4,6,10,33,-5.6,-5.6,-4.2,0.8,65,63,62,61,81,23
159,8160,2930,418,1,27540,42600,64340,399980,3,5,9,32,-5.1,-5.3,-3.9,1,64,62,62,61,79.2,30
165,10020,3815,380,2,17520,32580,54320,389960,2,4,8,31,-4.8,-5.2,-3.7,1.3,65,62,62,61,79.1,29
164,8200,3203,390,1,9320,24380,46120,389810,1,3,7,31,-3.1,-4.7,-3.3,1.6,64,62,62,61,81,29
164,9320,3409,365,11,0,23780,36800,387810,0,3,6,31,-5.2,-5.2,-3.3,1.7,64,62,62,61,81.5,23
164,7100,2845,400,4,7960,16680,29700,389710,1,2,5,31,-3.1,-3.9,-2.4,2.1,61,61,61,61,79.5,17
159,7960,3106,389,15,0,8720,21740,381750,0,1,4,30,-4.7,-4.7,-2.2,2.3,61,61,61,61,80,14
160,8720,3465,396,27,0,4800,13020,405220,0,1,3,31,-4.5,-4.5,-1.3,2.7,61,61,61,61,79,13
154,4800,2035,423,7,3620,8220,8220,431540,1,2,2,34,-3,0.3,0.3,3.6,62,62,61,61,80.5,7
149,3620,1587,437,14,0,4600,4600,427920,0,1,1,33,3.5,3.5,3.5,3.8,60,62,61,61,80.3,7
134,4600,2149,466,196,0,0,0,423320,0,0,0,32,3.8,3.8,3.8,3.8,62,61,61,61,79.9,17
