bpm,distance,time,pace,gap,dist_week,dist_month,dist_quater,dist_year,count_week,count_month,count_quater,count_year,point_week,point_month,point_quater,point_year,puls_week,puls_month,puls_quater,puls_year,weight,temperature
153,12000,4815,400,7,11890,82900,120090,820530,1,7,11,64,0.9,1.5,-0.1,0.4,61,60,61,61,75.5,11
152,11890,4708,395,3,24930,93660,108200,824210,2,8,10,64,1.7,-0.2,-0.2,0.3,60,61,61,61,77.7,19
152,13000,5187,398,2,11930,80660,95200,826210,1,7,9,64,2.7,-0.3,-0.3,0.3,60,60,61,61,77.9,15
148,11930,4806,402,8,0,68730,83270,814280,0,6,8,63,-0.8,-0.8,-0.7,0.3,60,60,61,61,77.5,9
151,13890,5567,400,4,20250,54840,69380,815630,2,5,7,63,2.1,-1.2,-1,0.2,59,60,61,61,77.5,17
148,10010,4069,406,2,22180,44830,59370,820910,2,4,6,63,1.5,-2,-1.5,0.1,62,61,62,61,78,17
147,10240,4181,408,4,23580,34590,49130,810670,2,3,5,62,0.8,-3.5,-2.2,0.1,62,61,62,61,78,14
152,11940,4753,397,2,22650,22650,48510,814460,2,2,5,62,-5.6,-5.6,-2.4,0,62,61,62,61,78.2,12
151,11640,4672,401,2,11010,11010,36870,802820,1,1,4,61,-11.9,-11.9,-3.2,0,61,61,62,61,78.8,15
164,11010,4719,428,29,0,6510,25860,791810,0,1,3,60,-0.7,-0.7,-0.3,0.2,61,61,61,61,78.4,15
150,6510,2708,415,27,0,8030,154130,831618,0,1,14,62,0.1,0.1,2.7,0,62,62,61,61,77.7,18
149,8030,3331,414,27,0,11320,239710,861188,0,1,21,64,-0.2,-0.2,1.6,-0.1,62,62,60,61,77.4,-1
150,11320,4685,413,8,0,111050,294100,880278,0,10,25,65,3,3,1.9,-0.5,60,59,60,62,77.4,13
148,12010,4811,400,2,21330,133190,310070,868268,2,12,26,64,2.2,3.1,1.6,-0.5,58,59,60,62,76.5,17
148,11330,4522,399,3,19650,133540,298740,856938,2,12,25,63,2.7,2.9,1.5,-0.6,58,59,61,62,76,4
155,10000,3753,375,3,21250,135300,301970,846938,2,12,25,62,3.9,2.8,1.5,-0.6,59,59,61,62,76,13
148,9650,3765,389,3,33570,137770,307570,837288,3,12,25,61,2.6,2.4,1.4,-0.7,59,59,61,62,75.4,9
147,11600,4624,398,2,33460,137530,295970,840688,3,12,24,61,2.3,2,1.3,-0.8,59,59,61,62,76.6,6
148,11970,4718,393,2,32630,138090,300000,828718,3,12,24,60,2.4,1.6,1,-0.9,59,59,61,62,76.9,9
158,10000,3699,369,3,34490,128090,299190,833718,3,11,24,60,3.6,1.7,0.9,-0.9,58,59,61,62,77.1,18
145,11490,4780,415,2,35040,116600,287700,837228,3,10,23,60,4.1,1.6,0.8,-1,58,59,62,62,77.7,14
147,11140,4399,394,2,35590,129200,276560,841088,3,11,22,60,3.7,0.8,0.6,-1.1,59,60,62,62,77.6,15
146,11860,4790,403,3,23730,117340,264700,829228,2,10,21,59,3.7,0.5,0.5,-1.2,60,60,62,62,78.1,10
146,12040,4812,399,2,33790,105300,252660,832238,3,9,20,59,2.2,0,0.3,-1.3,60,60,62,62,78,15
148,11690,4675,399,3,33860,93610,240970,836868,3,8,19,59,1.2,-0.4,0.1,-1.3,60,61,62,62,78.3,22
148,10420,4177,400,2,35560,83190,230550,826448,3,7,18,58,0.2,-0.8,0,-1.4,58,61,62,62,77.7,23
148,11680,4871,416,2,23880,71510,226950,830648,2,6,18,58,-0.1,-1.1,0.1,-1.4,59,61,62,62,78.4,18
149,11760,4909,417,3,23480,59750,231190,818888,2,5,18,57,-0.9,-1.3,0.2,-1.5,59,61,62,62,79.2,24
150,12120,5026,414,3,23890,47630,234830,819928,2,4,18,57,-1.6,-1.6,0.4,-1.4,59,62,62,62,78.5,19
150,11360,4817,423,2,12530,36270,237640,823568,1,3,18,57,-1.5,-1.5,0.1,-1.5,60,62,62,62,78.7,25
150,12530,5322,424,7,11940,35380,225110,826038,1,3,17,57,-0.5,0.1,0.2,-1.5,62,62,62,62,79.3,23
148,11940,5089,426,1,11800,46420,228720,824378,1,4,17,57,-2.6,1.6,0,-1.6,62,62,62,62,79.4,18
150,11800,5092,431,22,0,50130,216920,827588,0,4,16,57,3.1,3.1,0.2,-1.6,62,62,62,62,79.1,15
146,11640,4749,407,3,22980,126530,277660,910460,2,9,20,64,2.9,0.5,0.2,-2,62,63,62,62,80.1,16
146,11580,4757,410,3,42490,124140,266080,914226,3,9,19,64,2.4,-0.1,0,-2.1,62,63,62,62,79.4,20
145,11400,4745,416,2,47090,112740,270490,914183,3,8,19,64,1.2,-0.5,-0.1,-2.2,61,63,62,62,79.1,31
145,15510,6455,416,2,31580,97230,254980,898673,2,7,18,63,0.2,-1,-0.3,-2.3,61,63,62,62,79.3,19
153,15580,6131,393,2,27980,81650,239400,904994,2,6,17,63,-1.7,-1.4,-0.4,-2.4,60,63,62,62,80,31
154,16000,6462,403,4,11980,65650,223400,888994,1,5,16,62,-2.5,-1.5,-0.4,-2.4,60,63,62,62,79.4,30
156,11980,4812,401,6,13230,53670,227200,885673,1,4,16,62,0.6,-1.2,-0.2,-2.4,62,63,62,62,79.5,33
