bpm,age,weight,temp,dist,time,gap,dist_week,train_week,dist_month,train_month,dist_h_year,train_h_year
153,15847,80,37,9190,3831,16,0,0,54010,4,390200,26
149,15831,79.1,31,8080,3168,2,31760,2,93220,6,413078,27
155,15829,79.7,26,16000,6174,2,29930,2,95880,6,412438,27
150,15827,79.2,26,15760,6144,4,14170,1,91660,6,396678,26
162,15823,79.9,31,14170,5684,9,0,0,77490,5,397528,26
158,15814,79.2,32,15550,6329,3,16000,1,88190,6,381978,25
154,15811,78.8,25,16000,6308,5,15740,1,72190,5,377408,25
152,15806,78.4,26,15740,6249,6,18660,1,56450,4,361668,24
157,15800,78.9,30,18660,7453,2,11540,1,69200,5,354158,24
148,15798,78.5,22,11540,4640,7,10440,1,73670,5,358008,24
153,15791,79.1,26,10440,4052,5,15810,1,63230,4,347568,23
152,15786,80.1,19,15810,6445,11,0,0,78780,5,346778,23
152,15775,78.8,18,15780,6242,3,31640,2,94040,6,330998,22
156,15772,78.8,22,15630,6188,4,16010,1,78410,5,315368,21
156,15768,78.5,20,16010,6513,9,0,0,62400,4,299358,20
152,15759,78.7,18,15660,6395,3,15700,1,62540,4,283698,19
157,15756,79.4,26,15700,6591,9,0,0,61840,4,282998,19
153,15747,79.3,17,15030,6146,2,16010,1,61810,4,312968,21
146,15745,79.9,19,16010,7131,11,0,0,45800,3,296958,20
148,15734,79.1,11,15800,6778,6,15000,1,45570,3,328408,22
145,15728,79.2,29,15000,6926,5,15000,1,60810,4,341568,23
143,15723,79.6,13,15000,6952,16,0,0,45810,3,341568,23
142,15707,79.6,11,15570,7258,5,15000,1,61260,4,399021,28
141,15702,80.2,18,15000,7050,4,15240,1,46260,3,394339,28
144,15698,80.4,19,15240,7063,9,0,0,31020,2,402172,29
147,15689,80.1,10,15290,7049,7,15730,1,46688,3,426973,31
145,15682,79.5,9,15730,7471,17,0,0,30958,2,433144,31
145,15665,79.1,12,15228,6990,5,15730,1,46110,3,465798,34
139,15660,79.1,9,15730,7610,10,0,0,41810,3,450068,33
148,15650,77.9,7,15360,7012,4,15020,1,37600,3,489059,37
144,15646,80.3,13,15020,7331,15,0,0,37970,3,474039,36
142,15631,79.1,1,11430,5254,8,0,0,41560,3,462609,35
141,15623,79.3,13,11150,5450,5,15390,1,30410,2,482230,36
