bpm,pace,time,dist_quater,count_quater,point_quater,steps_quater,PAI_quater,puls_quater,gap,temperature
145,461,6926,153168,10,-3.1,854708,108,62,5,29
143,463,6952,138168,9,-3.3,847747,109,62,16,13
142,466,7258,160568,11,-4.2,913803,106,62,5,11
141,469,7050,145568,10,-4.5,892605,103,63,4,18
144,463,7063,145348,10,-5.2,908046,102,63,9,19
147,460,7049,130058,9,-5.3,875903,92,63,7,10
145,474,7471,114328,8,-5.4,827397,89,63,17,9
145,459,6990,114100,8,-5.6,817260,94,63,5,12
139,483,7610,113370,8,-5.6,802657,95,63,10,9
148,456,7012,159380,11,-4.1,843939,96,63,4,7
144,488,7331,144360,10,-3.9,835109,98,63,15,13
142,459,5254,191970,13,-3.4,912931,101,63,8,1
141,488,5450,219710,15,-3.3,925296,107,63,5,13
141,540,8334,228423,16,-2.8,922965,106,62,10,10
143,511,7683,256824,19,-3,974896,109,62,31,5
139,495,7431,338713,25,-3.1,1118052,126,61,4,14
140,478,7181,336698,25,-3.2,1141123,126,61,4,13
139,484,7272,336619,25,-3.1,1148583,129,61,2,14
140,466,6994,337823,25,-3.2,1153950,130,60,4,16
140,476,7175,345999,27,-3.1,1181615,127,60,3,16
141,470,7682,329679,26,-3.2,1157149,123,60,5,21
140,468,7447,313799,25,-3.3,1149439,117,60,3,15
143,441,5812,300639,24,-3.4,1124033,112,60,4,19
140,489,7350,285639,23,-3.4,1086534,107,60,3,22
140,492,7393,270639,22,-3.4,1044803,104,60,6,24
143,464,4775,260359,21,-3.4,1084452,99,60,2,27
140,495,7437,245349,20,-3.4,1069358,99,60,3,22
141,477,6495,253013,20,-3.1,1078947,101,60,2,28
139,479,6069,249870,20,-3.4,1066775,101,60,2,26
139,503,5768,259698,20,-3,1071872,102,60,3,28
138,478,4797,258081,20,-3,1077301,105,60,3,27
139,484,5000,269017,20,-3,1055282,108,61,3,19
140,515,5955,268301,20,-2.7,1056579,111,61,2,27
139,527,6068,268801,20,-2.3,1053645,112,61,4,23
146,439,5889,266871,20,-2.4,1040024,114,61,2,26
149,437,6716,272778,20,-2.4,1028900,115,61,4,31
143,474,5390,276426,20,-2.3,1019970,118,61,3,33
163,427,9372,254525,19,-1.8,1004240,121,61,6,33
149,423,3670,277502,20,-1.8,1010835,123,61,3,23
147,452,8168,274465,20,-1.9,997064,126,61,10,21
159,392,3218,290468,21,-2.2,1056764,136,61,2,36
147,460,5983,298737,21,-1.8,1052654,138,61,6,34
151,422,6303,313155,22,-2,1043244,141,62,2,30
142,469,7607,296951,21,-2,1032143,141,62,2,23
145,468,5608,299995,21,-2.1,1031634,143,62,1,25
143,451,3266,292757,20,-2.2,1021169,144,62,1,22
141,449,1810,298765,20,-2.5,1029396,145,62,28,27
157,369,7861,349438,24,-3.8,1059194,173,63,2,28
143,492,4681,339931,23,-3.6,1055426,174,63,2,29
160,355,7564,339915,23,-4.2,1053287,176,63,3,25
144,446,3756,346519,23,-4.7,1060757,173,63,30,31
160,349,7438,325265,22,-4.7,1052276,171,63,4,26
145,455,4945,314421,21,-4.7,1037388,168,63,3,27
166,347,4176,321865,21,-4.8,1049927,166,63,2,31
166,350,4015,310407,20,-4.8,1038456,164,63,4,29
